title,definition,year,Cluster,Notes
BUILDING SUPPLY CHAIN RESILIENCE AND ANTIFRAGILITY: STRATEGIES AND TECHNOLOGIES FOR MITIGATING DISRUPTIONS,“Supply chains that are resilient and antifragile—capable of surviving and thriving amid disruptions.”,2023,"F2, F5",
"Correction to: Antifragile, sustainable, and agile supply chain network design by considering resiliency, robustness, risk, and environmental requirements",“The antifragility concept utilizes disruptions and moves to improvement.”,2023,F2,
Thrive during a crisis: the role of digital technologies in fostering antifragility in small and medium-sized enterprises,"“Antifragility, instead, represents the capability of a system to absorb shocks and get better.”",2023,F5,"""Absorbs shocks is RO.  ""Get better"" instead of disportionately improve sounds like an extension of resilience."
An operationalization of antifragility in inventory management,"Antifragility refers to a system’s capacity to increase performance when exposed to increasing uncertainty, representing a continuous or bounded function in which gains rise with volatility.",2023,F2,
Stocks and cryptocurrencies: Antifragile or robust? A novel antifragility measure of the stock and cryptocurrency markets,"“A system is antifragile when it benefits from noise or disorder. Thus, noise acts as a constructive element that allows the system to perform a function successfully. Therefore, one expects to encounter antifragility in a complex dynamical system that is nonlinear, has many degrees of freedom and is out of equilibrium.”",2023,"F2, P1C",
Beyond resilience: towards antifragility?,"“Antifragility is positioned as a progression from robustness and resilience, with a positive end-point. Where robustness ends in failure, and resilience restores the status quo (plus/minus some possible lasting impacts on performance), antifragility theoretically would result in permanent positive improvement and enhanced performance.”",2023,"F2, F5+",
Health Service Implementation and Antifragile Characteristics in Rural Communities: A Dirt Research Approach,"“When programs or units are antifragile, they stand to gain from inevitable volatility rather than be harmed by it.”",2023,F2,
"Analyzing antifragility among smallholder farmers in Bihar, India: An assessment of farmersâ€™ vulnerability and the strengths of positive deviants","“A system is antifragile when it gains from disturbances (Taleb, 2012). The average performance of an antifragile system increases as perturbations trigger selection and removal of underperforming system features, while the strongest features survive.”",2023,"F2, F3, P1C+",
Investigating the interaction of factors for implementing additive manufacturing to build an antifragile supply chain: TISM-MICMAC approach,"“While a resilient supply chain aims at absorbing shocks, an antifragile supply chain sees these shocks as an opportunity to get stronger and better. An antifragile supply chain does not only respond to disruption but also thrives in it (Taleb, 2012).”",2022,F2,
Provide a Lean and Agile Strategy for an Antifragile Sustainable Supply Chain in the Construction Industry(residential complex),No definition,2022,F6,
"Resilience, robustness, and antifragility: Towards an appreciation of distinct organizational responses to adversity","“Organizations can experience three distinct outcomes after facing adversity: (1) performance degradation followed by recovery (i.e., resilience), (2) insensitivity to uncertainty (i.e., robustness), and (3) upside gain (i.e., antifragility).”",2022,"F2, P1C",
Enhancing Antifragile Performance of Manufacturing Systems through Predictive Maintenance,"“Antifragility is the feature of a system that increases in resilience or robustness as a result of the harmful effects of stressful actions: malfunctions, shocks, errors, noise, mistakes, disturbances, attacks, faults, or failures. In other words, some systems (natural or artificial) can improve their performance and become better when subjected to various forms of stress.”",2022,"F2, F5",
Exaptive innovation in constraint-based environments: lessons from COVID-19 crisis,No definition,2022,F6,
Gaining from disorder: Making the case for antifragility in purchasing and supply chain management,"“Unlike robust or resilient supply chains, the antifragile supply chain ‘loves’ disorder and thrives in the world of randomness. In other words, robust and resilient supply chains are placed on a continuum from the fragile to antifragile supply chain.”",2021,F2,
Empowering Organisations to Gain From Uncertainty: a Conceptualisation of Antifragility Through Leveraging Organisational Routines in Uncertain Environments,“The concept of gaining from uncertainty referred to as antifragility.”,2021,F2,
Designing antifragile social-technical information systems in an era of big data,"Antifragility refers to the design of information systems that leverage uncertainty for gains, shifting design philosophy from preserving function to expanding functionality and performance across a range of uncertain conditions.",2021,F2,
Antifragile philosophy in R&D projects: Applying Q methodology and the possibility of open innovation,"“The concept of antifragile was created by Nicholas Nasim Taleb in 2012. It is a neologism that Taleb uses to define the opposite to ‘fragile’… the opposite is what not only does not deteriorate, break down and/or collapse but also improves.”",2021,F2,
A managerial operationalization of antifragility and its consequences in supply chains,"“Antifragility refers to systems that gain from volatility and disorder and show an improvement in performance when subjected to large and seemingly implausible changes in parameters. Antifragility encompasses robustness as it means the ability to recover after a shock, however, with the addition to achieve an even higher performance level afterwards.”",2020,"F2, P1A","This def acknowledged that robusness was part of AF, but only received a P1 because it did not include the learning aspect of AF."
Approaches for resilience and antifragility in collaborative business ecosystems,"1. “Antifragility – when systems absorb shocks and get better afterward.” (Taleb, 2012; Hespanhol, 2017)
2. “Taleb called it antifragile and introduced the concept of antifragility as a property beyond robustness and resilience.” (Russo & Ciancarini, 2017)
3. “According to Taleb (2012), the idea behind antifragility is to survive (even thrive) in the age of complexity and volatility when dealing with unknown randomness and disruptions.” (Taleb, 2012; Russo & Ciancarini, 2017; Hespanhol, 2017)
4. “Antifragility and fragility are degrees on a spectrum, and we can almost always detect antifragility (and fragility) using a simple test of asymmetry: anything that has more upside than downside (convex) from random events (or certain shocks) is antifragile. Anything that acts reversely is fragile.” (Russo & Ciancarini, 2017)
5. “While a robust or resilient system resists failure and remains the same or recovers from failure, an antifragile system benefits from shocks, getting better.” (Lichtman et al., 2016; Hespanhol, 2017)",2020,"F2, F1, F3, F5","This def mentions that AF is when as system has more upside than downside, but did not mention learning or consider robustness as part of its definition."
On the meaning and operationalization of antifragility: Comment on the paper by GroÎ²ler,“Antifragility refers to systems which gain from volatility and disorder and show an improvement in performance when subjected to large and seemingly implausible changes in parameters.”,2020,F2,
Antifragility Predicts the Robustness and Evolvability of Biological Networks through Multi-Class Classification with a Convolutional Neural Network,“Antifragility can be defined as the ability of a system to improve its functionality in the presence of external perturbations.”,2020,F2+,
Black-Swan Type Catastrophes and Antifragility/Supra-resilience of Urban Socio-Technical Infrastructures,"1. “Antifragility … demonstrates itself as the ability of a system to become stronger (up to an unknown point) after experiencing a stressor.”
2. “Antifragility is principally more than resilience or robustness.”",2020,F2,
A Philosophy of Security Architecture Design,"“There may exist vulnerabilities and there may be exposure, but steps will be taken to mitigate weaknesses. Upon experiencing adversities, a host of measures will be taken to strengthen the system. One will learn from the incident, and improve on the system in as many ways as are practical.”",2020,"F1+, F2, F3",
Supraresilience of bio-socio-technical infrastructures,“Antifragility … did not exist as a notion before Nicholas Taleb introduced it in 2012 as an antonym to fragility and demonstrates itself as the ability of a system to become stronger (up to an unknown point) after experiencing a stressor.”,2020,F2,
Designing decentralized knowledge management systems to effectuate individual and collective generative capacities,“The term ‘Antifragility’ defines the property or capacity of systems (beyond robustness and resilience) to potentially benefit or even thrive when exposed to these change or disorder effects.”,2020,F2,
PANDEMIC PLANNING AND RESPONSE AND THE CASE FOR ANTI-FRAGILITY,No definition,2020,F6,Need to find in scholar
A collaborative approach to resilient and antifragile business ecosystems,No definition,2019,F6,
"Fragile, Robust and Antifragile Services","“Antifragility is a property of systems that increase in capability as a result of stressors, shocks, volatility, noise, mistakes, faults, attacks, or failures. According to N.N. Taleb (2013): ‘Antifragility is beyond resilience or robustness. The resilient resists shocks and stays the same; the antifragile gets better.’”",2018,F2,
Emergence of Antifragility by Optimum Postdisruption Restoration Planning of Infrastructure Networks,"“A system is antifragile if its performance improves as the result of exposure to stressors, shocks, or disruptions.”",2017,F2,
Storytelling as a strategy in managing complex systems: using antifragility for handling an uncertain future in reliability,"“Antifragility refers to when [a system] benefits from this variability.” (Taleb, 2012; Taleb & Douady, 2013)",2017,F2,
"A Right-Brained Approach to Critical Infrastructure Protection Theory in support of Strategy and Education: Deterrence, Networks, Resilience, and â€œAntifragilityâ€","“‘Antifragility’ essentially describes systems that actually benefit from disorder, rather than suffer.”",2017,F2,
Corporate real estate black swan strategies: Beyond probability and resilience,"1. “Antifragility… regenerates itself continuously by using, rather than suffering from, random events, unpredictable shocks, and volatility.”
2. “The resilient resists Black Swans and remains the same but the antifragile knowledge gets better and better.”
3. “Antifragility is defined as a convex response to a source of harm and so can lead to a positive response to an increase in volatility, as opposed to fragility which suffers from the variability of its environment beyond a certain pre-set threshold.”",2016,"F1+. F2 , F3",This def leaves off the learning aspect of AF
Building antifragility in service organisations: going beyond resilience,"1. The implications of antifragility go beyond resilience or robustness. A resilient system resists stress and remains the same; while an antifragile system improves.” (Jaaron & Backhouse, 2014; citing Taleb, 2012)
2. “To maintain organisational growth in a turbulent environment, organisations must build highly effective learning systems to innovate and develop from threats and stressors. This has been termed by Taleb (2012s) as ‘antifragility.’” the capacity to learn from stressors in order to flourish.”",2014,"F2, F3 ",
Taleb,"1. convexity
2. asymmetry
3. growth through disorder
4. protective robustness
5. iterative learning
6. adaptive restructuring
7. convexity, asymmetry, growth through disorder, protective robustness, iterative learning, adaptive restructuring",2011,,
